epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8944,2.08481,3.61679,1.80345,0.01059,0.6865,0.14592,0.06513,2.25417,3.42129,1.98724,0.0032963,0.0032963,0.0703333
2,43.4085,1.81595,2.64821,1.66224,0.17106,0.02503,0.006,0.00185,4.15519,10.9282,3.14435,0.00662891,0.00662891,0.0403326
3,64.7772,1.86954,2.32452,1.65177,0.12135,0.16832,0.08534,0.02884,3.32711,3.34254,2.67627,0.00995864,0.00995864,0.010329
4,86.1609,1.89615,2.2227,1.67534,0.63192,0.10361,0.11336,0.04207,3.26927,3.64445,2.71331,0.00999023,0.00999023,0.00999023
5,107.876,1.86156,2.12931,1.67117,0.47135,0.43946,0.38117,0.17442,2.14704,2.24628,2.09594,0.00998264,0.00998264,0.00998264
6,129.325,1.85905,2.05741,1.6646,0.71297,0.21481,0.19103,0.07634,3.01629,3.00258,2.35898,0.00997288,0.00997288,0.00997288
7,150.498,1.83075,1.94346,1.6393,0.62665,0.38575,0.37069,0.15624,2.42021,2.2182,2.14105,0.00996097,0.00996097,0.00996097
8,171.694,1.76083,1.86751,1.6304,0.38422,0.16593,0.14918,0.05705,3.57501,3.39747,2.68329,0.0099469,0.0099469,0.0099469
9,192.899,1.77146,1.84311,1.62414,0.34262,0.40242,0.33137,0.1439,2.44466,2.20839,2.1164,0.00993068,0.00993068,0.00993068
10,214.266,1.7285,1.74979,1.60338,0.44454,0.44387,0.46361,0.18779,2.25328,2.03,2.0806,0.00991232,0.00991232,0.00991232
11,235.821,1.70026,1.72211,1.58697,0.56876,0.36691,0.24872,0.10405,2.81105,2.70618,2.51318,0.00989183,0.00989183,0.00989183
12,256.989,1.69192,1.71592,1.60105,0.40948,0.52694,0.4298,0.19103,2.19885,2.08777,2.04621,0.00986922,0.00986922,0.00986922
13,278.619,1.71902,1.70402,1.61477,0.41606,0.49549,0.46539,0.20656,2.36291,1.95537,2.13139,0.00984449,0.00984449,0.00984449
14,300.022,1.63105,1.63133,1.56407,0.39883,0.58922,0.54382,0.25395,2.07999,1.80841,1.97844,0.00981765,0.00981765,0.00981765
15,321.314,1.64242,1.61602,1.56775,0.30638,0.2957,0.26766,0.10995,2.75337,2.59775,2.34816,0.00978873,0.00978873,0.00978873
16,342.955,1.6264,1.5766,1.56698,0.47185,0.49233,0.50716,0.23877,2.11069,1.81898,1.98607,0.00975773,0.00975773,0.00975773
17,364.481,1.6425,1.60574,1.57774,0.50607,0.56289,0.56047,0.27344,1.95737,1.71379,1.86589,0.00972466,0.00972466,0.00972466
18,386.064,1.61889,1.60834,1.5783,0.7928,0.42448,0.55368,0.25947,1.9761,1.76742,1.89499,0.00968955,0.00968955,0.00968955
19,407.199,1.59657,1.55314,1.55251,0.65187,0.5166,0.55942,0.25344,1.99874,1.70816,1.84768,0.00965239,0.00965239,0.00965239
20,428.395,1.59774,1.53998,1.54517,0.55489,0.30716,0.29886,0.14326,3.19733,3.03341,2.54853,0.00961322,0.00961322,0.00961322
21,449.584,1.61223,1.54393,1.5749,0.44228,0.38582,0.39387,0.17576,2.39887,2.31117,2.12708,0.00957205,0.00957205,0.00957205
22,471.194,1.57684,1.52259,1.55548,0.67395,0.432,0.53616,0.22885,2.21771,1.82402,2.00243,0.00952889,0.00952889,0.00952889
23,492.484,1.5552,1.53134,1.54744,0.46337,0.67717,0.64441,0.30543,1.93318,1.66473,1.86211,0.00948377,0.00948377,0.00948377
24,513.585,1.54814,1.47813,1.53511,0.4492,0.47648,0.44258,0.18673,2.34878,2.06618,2.11935,0.00943671,0.00943671,0.00943671
25,534.824,1.52306,1.48094,1.52229,0.61663,0.33132,0.39718,0.17933,2.25702,2.16694,2.04697,0.00938772,0.00938772,0.00938772
26,556.076,1.52765,1.44806,1.52636,0.60671,0.48457,0.50007,0.23332,2.08865,1.95236,1.94181,0.00933683,0.00933683,0.00933683
27,577.661,1.53223,1.47258,1.53855,0.54959,0.57488,0.61158,0.31468,1.84112,1.55709,1.7852,0.00928405,0.00928405,0.00928405
28,599.165,1.50557,1.43813,1.52363,0.51858,0.4962,0.51159,0.22466,2.23859,1.99235,2.12102,0.00922942,0.00922942,0.00922942
29,620.326,1.45288,1.42767,1.49823,0.40603,0.5159,0.48635,0.23445,2.14087,1.79816,1.96506,0.00917296,0.00917296,0.00917296
30,642.01,1.49499,1.43546,1.51981,0.53812,0.61431,0.60594,0.29462,1.83515,1.54584,1.91675,0.00911469,0.00911469,0.00911469
31,663.464,1.48879,1.41721,1.50785,0.49689,0.50195,0.52472,0.21721,2.22485,1.97164,2.04833,0.00905463,0.00905463,0.00905463
32,684.63,1.50066,1.43074,1.51639,0.63891,0.58438,0.64012,0.31466,1.87038,1.62141,1.87829,0.00899282,0.00899282,0.00899282
33,706.229,1.47967,1.41104,1.50995,0.53602,0.61836,0.6458,0.31313,1.90483,1.50747,1.85239,0.00892928,0.00892928,0.00892928
34,727.894,1.45386,1.3918,1.49401,0.49937,0.55006,0.56122,0.26432,2.00273,1.72628,1.94876,0.00886404,0.00886404,0.00886404
35,749.288,1.47054,1.39605,1.51358,0.52882,0.57453,0.59436,0.27864,1.95989,1.71711,1.89693,0.00879713,0.00879713,0.00879713
36,770.523,1.47716,1.38282,1.50671,0.54302,0.6374,0.64097,0.31271,1.87983,1.53551,1.77486,0.00872857,0.00872857,0.00872857
37,791.709,1.43833,1.35925,1.48705,0.60781,0.63727,0.62391,0.30338,1.87306,1.50665,1.8359,0.00865839,0.00865839,0.00865839
38,813.1,1.45329,1.35354,1.49439,0.64338,0.60538,0.65163,0.33396,1.78527,1.50746,1.78521,0.00858664,0.00858664,0.00858664
39,834.584,1.41955,1.35106,1.47878,0.6784,0.56541,0.65057,0.33728,1.77102,1.496,1.77744,0.00851333,0.00851333,0.00851333
40,855.714,1.42666,1.33114,1.47311,0.36369,0.44037,0.41814,0.1896,2.64462,2.34034,2.36047,0.00843851,0.00843851,0.00843851
41,876.972,1.43646,1.34667,1.49069,0.55024,0.64004,0.64772,0.32404,1.89034,1.52556,1.81141,0.0083622,0.0083622,0.0083622
42,898.251,1.40394,1.33135,1.4777,0.52763,0.65582,0.67022,0.33532,1.76454,1.5211,1.75895,0.00828443,0.00828443,0.00828443
43,919.349,1.39915,1.32581,1.47542,0.59714,0.60151,0.62506,0.2979,1.92641,1.57458,1.85849,0.00820525,0.00820525,0.00820525
