epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5974,2.09667,3.23231,1.91208,0.26606,0.27025,0.23555,0.10367,2.79451,2.6264,2.2752,0.0032963,0.0032963,0.0703333
2,60.8343,1.677,1.87945,1.61714,0.39481,0.32223,0.24153,0.0895,2.74174,2.54027,2.36651,0.00662891,0.00662891,0.0403326
3,90.8299,1.64174,1.83199,1.59579,0.72973,0.20982,0.22131,0.08512,2.65174,3.11149,2.25291,0.00995864,0.00995864,0.010329
4,120.935,1.67576,1.74027,1.62648,0.53993,0.3329,0.35618,0.14082,2.27613,2.35009,2.24952,0.00999023,0.00999023,0.00999023
5,150.919,1.68049,1.71126,1.62879,0.37066,0.33639,0.29776,0.12195,2.75209,2.61126,2.44447,0.00998264,0.00998264,0.00998264
6,181.285,1.62907,1.65396,1.61289,0.56953,0.26734,0.23772,0.08658,2.72408,3.18901,2.27879,0.00997288,0.00997288,0.00997288
7,211.232,1.63687,1.63408,1.60825,0.45177,0.32827,0.24157,0.11098,2.5551,2.82428,2.32607,0.00996097,0.00996097,0.00996097
8,241.565,1.62623,1.60579,1.61587,0.29363,0.17375,0.19018,0.08153,2.71154,3.00386,2.32323,0.0099469,0.0099469,0.0099469
9,271.91,1.60276,1.59815,1.59787,0.37478,0.45278,0.36907,0.16651,2.31144,2.27175,2.14013,0.00993068,0.00993068,0.00993068
10,302.019,1.56412,1.57954,1.60044,0.59195,0.41703,0.46518,0.21254,2.13661,1.9764,2.01848,0.00991232,0.00991232,0.00991232
11,331.944,1.55694,1.54726,1.57841,0.52627,0.31985,0.3266,0.14567,2.26689,2.29321,2.13403,0.00989183,0.00989183,0.00989183
12,362.141,1.53205,1.52607,1.5883,0.43854,0.44821,0.42895,0.2071,2.12071,2.1754,2.10696,0.00986922,0.00986922,0.00986922
13,392.269,1.48515,1.507,1.56527,0.40076,0.12938,0.02736,0.01147,3.98643,7.60519,3.30004,0.00984449,0.00984449,0.00984449
14,422.288,1.50932,1.51087,1.57005,0.52406,0.193,0.13621,0.05038,2.99019,3.86714,2.65971,0.00981765,0.00981765,0.00981765
