epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8435,4.80173,4.4364,4.03942,0.00495,0.26335,0.04182,0.01023,5.6947,3.81341,3.97341,0.0032963,0.0032963,0.0703333
2,60.0415,3.64283,3.39863,3.58637,0.09058,0.09454,0.05926,0.01895,4.04345,5.53171,3.66644,0.00662891,0.00662891,0.0403326
3,89.7289,2.96255,2.9553,3.13994,0.26247,0.25286,0.12765,0.04018,3.74732,4.2985,3.16368,0.00995864,0.00995864,0.010329
4,119.097,2.60167,2.7348,2.80846,0.17391,0.2185,0.09056,0.02499,3.49668,4.1142,3.0247,0.00999023,0.00999023,0.00999023
5,148.741,2.42632,2.63276,2.6043,0.76195,0.09483,0.09759,0.03798,3.5738,7.88209,2.99738,0.00998264,0.00998264,0.00998264
6,178.377,2.18475,2.46906,2.46322,0.28378,0.44558,0.33153,0.12444,2.87665,2.52282,2.60921,0.00997288,0.00997288,0.00997288
7,207.663,2.09889,2.36193,2.35209,0.36283,0.33842,0.26623,0.10858,2.66568,3.0262,2.49947,0.00996097,0.00996097,0.00996097
8,236.882,2.00079,2.24984,2.26677,0.28204,0.19059,0.13089,0.0487,3.87595,3.6667,3.06649,0.0099469,0.0099469,0.0099469
9,266.046,1.93465,2.18632,2.23196,0.4611,0.29417,0.23315,0.08515,3.06473,2.83278,2.71815,0.00993068,0.00993068,0.00993068
10,295.762,1.87162,2.10754,2.17037,0.34983,0.40671,0.33266,0.13571,2.43389,2.35403,2.38214,0.00991232,0.00991232,0.00991232
11,324.912,1.84436,2.03699,2.12871,0.75296,0.12813,0.13161,0.04702,3.40371,3.50388,3.00702,0.00989183,0.00989183,0.00989183
12,354.659,1.81534,2.02818,2.12504,0.22425,0.34663,0.22521,0.08728,3.22678,3.17542,2.70037,0.00986922,0.00986922,0.00986922
13,384.073,1.80916,1.99015,2.1103,0.51975,0.43893,0.45672,0.18156,2.411,2.19484,2.31661,0.00984449,0.00984449,0.00984449
14,413.688,1.75786,1.91387,2.05766,0.53239,0.42422,0.41547,0.1843,2.50635,2.36612,2.33397,0.00981765,0.00981765,0.00981765
15,443.402,1.73227,1.91133,2.05441,0.45412,0.55277,0.52239,0.22285,2.17289,2.05384,2.19012,0.00978873,0.00978873,0.00978873
16,472.972,1.73696,1.84612,2.02339,0.38813,0.51135,0.43215,0.18932,2.33418,2.46115,2.23321,0.00975773,0.00975773,0.00975773
17,502.301,1.72045,1.86269,2.02234,0.67758,0.48954,0.58275,0.26942,2.18462,1.82014,2.20791,0.00972466,0.00972466,0.00972466
18,531.751,1.68685,1.86238,2.00758,0.64581,0.36423,0.43434,0.17683,2.51087,2.28693,2.35038,0.00968955,0.00968955,0.00968955
19,561.156,1.68362,1.79742,1.99872,0.52499,0.49176,0.52551,0.21726,2.26735,1.95666,2.27125,0.00965239,0.00965239,0.00965239
20,590.416,1.66131,1.76421,1.97295,0.40199,0.50284,0.43571,0.18772,2.32639,2.04717,2.26821,0.00961322,0.00961322,0.00961322
21,619.655,1.66475,1.75435,1.96586,0.48921,0.50275,0.51712,0.22016,2.18326,1.95006,2.15312,0.00957205,0.00957205,0.00957205
22,649.18,1.63872,1.73546,1.95628,0.47748,0.62355,0.57916,0.26203,2.09616,1.85961,2.16833,0.00952889,0.00952889,0.00952889
23,678.525,1.60969,1.75059,1.92875,0.73308,0.3405,0.39786,0.15693,2.58267,2.47586,2.38815,0.00948377,0.00948377,0.00948377
24,707.999,1.62595,1.68064,1.91401,0.50192,0.53201,0.5287,0.2285,2.63388,1.8809,2.36965,0.00943671,0.00943671,0.00943671
25,737.375,1.58756,1.69296,1.91845,0.65389,0.45997,0.53744,0.24455,2.31009,1.89842,2.2201,0.00938772,0.00938772,0.00938772
26,766.967,1.59513,1.67257,1.91208,0.44307,0.34586,0.31387,0.12574,3.08322,2.92391,2.75304,0.00933683,0.00933683,0.00933683
