epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4442,2.10768,3.69825,1.82321,0.48161,0.0594,0.07826,0.04112,2.88633,3.65191,2.20099,0.0032963,0.0032963,0.0703333
2,43.982,1.83375,2.89771,1.64639,0.30215,0.21456,0.17637,0.07531,2.64429,3.12902,2.13322,0.00662891,0.00662891,0.0403326
3,66.3816,1.87811,2.38567,1.64885,0.00223,0.22658,0.00127,0.00025,5.26853,4.61185,3.95326,0.00995864,0.00995864,0.010329
4,87.8906,1.93755,2.26011,1.67764,0.32002,0.16114,0.06726,0.01823,3.6177,5.15516,3.09524,0.00999023,0.00999023,0.00999023
5,109.355,1.87355,2.16027,1.67275,0.3814,0.24646,0.18931,0.06708,3.26258,3.64105,2.50603,0.00998264,0.00998264,0.00998264
6,131.198,1.8004,2.02698,1.65333,0.29915,0.16924,0.08365,0.02727,3.38082,3.86134,2.82553,0.00997288,0.00997288,0.00997288
7,152.985,1.78717,1.96727,1.63509,0.38013,0.34544,0.26997,0.11493,2.76073,2.8825,2.35627,0.00996097,0.00996097,0.00996097
8,174.498,1.74305,1.84991,1.62025,0.43339,0.29679,0.26027,0.08906,2.57761,2.62079,2.18203,0.0099469,0.0099469,0.0099469
9,195.908,1.7378,1.8462,1.62594,0.37126,0.20862,0.15956,0.0715,3.52988,3.25215,2.84364,0.00993068,0.00993068,0.00993068
10,217.135,1.67497,1.7575,1.59768,0.64517,0.29962,0.28965,0.11381,2.94826,2.82045,2.38196,0.00991232,0.00991232,0.00991232
11,238.79,1.7044,1.77791,1.61648,0.31517,0.48393,0.38599,0.17171,2.38763,2.38766,2.09119,0.00989183,0.00989183,0.00989183
12,260.54,1.6337,1.67619,1.57978,0.64583,0.41681,0.47681,0.22263,1.99232,2.04506,1.91309,0.00986922,0.00986922,0.00986922
13,281.749,1.65306,1.67445,1.58364,0.44622,0.31758,0.32948,0.1562,3.01927,2.82787,2.49591,0.00984449,0.00984449,0.00984449
14,302.957,1.62447,1.62638,1.56796,0.42519,0.44486,0.39551,0.17522,2.42762,2.14841,2.12548,0.00981765,0.00981765,0.00981765
15,324.353,1.61337,1.63331,1.56846,0.45689,0.53711,0.52076,0.23533,2.06847,1.78969,1.93158,0.00978873,0.00978873,0.00978873
16,345.47,1.57782,1.60209,1.55406,0.59447,0.39102,0.41411,0.19148,2.14911,2.12673,1.97934,0.00975773,0.00975773,0.00975773
17,367.292,1.56091,1.5636,1.54076,0.48402,0.58404,0.53207,0.25423,2.00482,1.75448,1.8922,0.00972466,0.00972466,0.00972466
18,388.703,1.56016,1.54805,1.54087,0.37972,0.4889,0.40632,0.18273,2.34612,2.06183,2.18842,0.00968955,0.00968955,0.00968955
19,409.966,1.57093,1.52881,1.54619,0.55443,0.54231,0.52895,0.2416,2.25533,1.89202,2.01828,0.00965239,0.00965239,0.00965239
20,431.925,1.56656,1.53881,1.56556,0.55283,0.18864,0.17119,0.05928,3.52358,3.48466,3.00656,0.00961322,0.00961322,0.00961322
21,453.24,1.53923,1.50154,1.54033,0.62177,0.50994,0.56154,0.28074,1.93099,1.91775,1.88839,0.00957205,0.00957205,0.00957205
22,474.687,1.52473,1.48408,1.52264,0.59346,0.55492,0.61921,0.31145,1.7758,1.64878,1.78272,0.00952889,0.00952889,0.00952889
23,496.36,1.51215,1.46401,1.51987,0.27545,0.2988,0.25446,0.11244,3.33644,3.00158,2.79057,0.00948377,0.00948377,0.00948377
24,517.957,1.51866,1.46163,1.52026,0.47877,0.57996,0.58336,0.29138,1.8633,1.66338,1.85199,0.00943671,0.00943671,0.00943671
25,539.394,1.50208,1.43276,1.52056,0.46405,0.6795,0.6122,0.29995,1.80523,1.64057,1.83698,0.00938772,0.00938772,0.00938772
26,560.61,1.50726,1.42723,1.51239,0.49733,0.63574,0.59157,0.29613,1.91348,1.62654,1.83348,0.00933683,0.00933683,0.00933683
27,581.817,1.47648,1.43392,1.51966,0.48693,0.63247,0.64282,0.30681,1.84388,1.57548,1.80807,0.00928405,0.00928405,0.00928405
28,603.5,1.48823,1.43304,1.51883,0.36252,0.36771,0.32658,0.16602,2.96716,2.77399,2.41849,0.00922942,0.00922942,0.00922942
29,625.047,1.45738,1.38719,1.49739,0.5109,0.55369,0.54622,0.25219,1.94882,1.70304,1.82587,0.00917296,0.00917296,0.00917296
30,646.425,1.45773,1.39834,1.49683,0.41137,0.4783,0.4419,0.19583,2.24241,2.05218,2.08824,0.00911469,0.00911469,0.00911469
31,667.78,1.45932,1.39139,1.49723,0.49167,0.66171,0.62269,0.30157,1.80607,1.59048,1.84709,0.00905463,0.00905463,0.00905463
32,689.042,1.43419,1.37767,1.49123,0.41966,0.4786,0.47625,0.22288,2.14534,1.97454,1.98722,0.00899282,0.00899282,0.00899282
33,710.335,1.45703,1.3831,1.50047,0.57245,0.65099,0.64592,0.33033,1.73204,1.48711,1.77015,0.00892928,0.00892928,0.00892928
34,732.09,1.43486,1.39173,1.50918,0.56507,0.63321,0.66285,0.31793,1.77383,1.47234,1.77745,0.00886404,0.00886404,0.00886404
35,753.445,1.42358,1.35462,1.48974,0.67064,0.48462,0.57437,0.28487,1.93497,1.85356,1.85147,0.00879713,0.00879713,0.00879713
36,775.063,1.40143,1.33271,1.47475,0.60855,0.54213,0.59622,0.26716,2.05482,1.69971,1.92456,0.00872857,0.00872857,0.00872857
37,796.788,1.42843,1.34011,1.50045,0.55075,0.6835,0.69192,0.34906,1.7883,1.47454,1.75585,0.00865839,0.00865839,0.00865839
38,817.994,1.41563,1.33552,1.48328,0.51037,0.53131,0.51107,0.22876,2.3419,2.07023,2.13625,0.00858664,0.00858664,0.00858664
39,839.678,1.40508,1.3443,1.48179,0.58329,0.59989,0.63163,0.31477,1.90368,1.52445,1.88056,0.00851333,0.00851333,0.00851333
40,861.297,1.38398,1.29372,1.45837,0.53214,0.60574,0.61907,0.29108,1.9292,1.59484,1.90176,0.00843851,0.00843851,0.00843851
41,882.89,1.40032,1.32999,1.47164,0.6797,0.21733,0.33452,0.14685,2.99736,3.12325,2.54715,0.0083622,0.0083622,0.0083622
