epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3499,1.50172,3.59709,1.83308,0.00355,0.48069,0.07199,0.02835,2.23056,3.65416,2.54101,0.0032963,0.0032963,0.0703333
2,44.2512,1.30675,2.53876,1.64026,0.27017,0.20005,0.08015,0.03195,2.32415,3.98385,2.73803,0.00662891,0.00662891,0.0403326
3,65.8835,1.30061,2.24665,1.64459,0.30105,0.14106,0.10102,0.03456,2.56162,3.50946,2.84082,0.00995864,0.00995864,0.010329
4,87.6174,1.36116,2.15577,1.67639,0.73713,0.04167,0.06337,0.02582,3.1434,3.72752,3.12455,0.00999023,0.00999023,0.00999023
5,109.491,1.30213,2.05079,1.65909,0.44733,0.31918,0.23405,0.08291,1.92901,2.93166,2.40434,0.00998264,0.00998264,0.00998264
6,131.189,1.28838,1.97148,1.64957,0.37981,0.52754,0.4202,0.18364,1.81591,2.40061,2.08059,0.00997288,0.00997288,0.00997288
7,152.875,1.27158,1.90584,1.62423,0.46809,0.30773,0.24483,0.09823,1.98617,2.90102,2.34064,0.00996097,0.00996097,0.00996097
8,174.463,1.23872,1.85735,1.61974,0.43085,0.4383,0.38764,0.16926,1.77398,2.07141,2.1106,0.0099469,0.0099469,0.0099469
9,196.071,1.23183,1.80988,1.60574,0.36933,0.38392,0.30227,0.11626,1.83639,2.43971,2.23089,0.00993068,0.00993068,0.00993068
10,217.807,1.22695,1.76876,1.60928,0.79411,0.18875,0.28603,0.11462,1.96471,2.86341,2.30487,0.00991232,0.00991232,0.00991232
11,239.796,1.22521,1.73363,1.59344,0.40927,0.1679,0.16888,0.06279,2.09543,3.04194,2.52854,0.00989183,0.00989183,0.00989183
12,261.307,1.19362,1.69664,1.59351,0.41445,0.55773,0.46478,0.20287,1.61716,2.10768,2.00815,0.00986922,0.00986922,0.00986922
13,283.333,1.20815,1.70946,1.60371,0.54009,0.38662,0.43854,0.19894,1.61076,1.97474,1.99981,0.00984449,0.00984449,0.00984449
14,305.272,1.16184,1.62426,1.57162,0.56486,0.458,0.44521,0.21157,1.57317,2.26383,2.06456,0.00981765,0.00981765,0.00981765
15,326.817,1.17343,1.6018,1.56948,0.49027,0.55365,0.52255,0.23279,1.5366,1.85422,1.93883,0.00978873,0.00978873,0.00978873
16,348.678,1.17441,1.60469,1.56905,0.38445,0.44798,0.37454,0.16873,1.67356,2.10573,2.01109,0.00975773,0.00975773,0.00975773
17,370.808,1.15603,1.58749,1.57577,0.51115,0.4324,0.41189,0.19113,1.49755,2.22592,1.90736,0.00972466,0.00972466,0.00972466
18,392.639,1.1548,1.57709,1.56231,0.73746,0.45189,0.5697,0.26993,1.52946,1.76516,1.94489,0.00968955,0.00968955,0.00968955
19,414.095,1.18231,1.52842,1.55107,0.35411,0.20063,0.13806,0.05362,2.29497,3.35314,2.62325,0.00965239,0.00965239,0.00965239
20,435.554,1.1515,1.53598,1.56058,0.55495,0.2193,0.2911,0.13204,2.00635,3.04579,2.33333,0.00961322,0.00961322,0.00961322
21,457.152,1.13911,1.51976,1.53967,0.47306,0.63592,0.58451,0.27782,1.46499,1.61663,1.87519,0.00957205,0.00957205,0.00957205
22,478.994,1.1283,1.50124,1.54389,0.55156,0.56106,0.61515,0.29336,1.44429,1.62825,1.95113,0.00952889,0.00952889,0.00952889
23,500.408,1.13333,1.49176,1.53657,0.46465,0.55207,0.54464,0.2531,1.49809,1.78775,1.90165,0.00948377,0.00948377,0.00948377
24,521.849,1.1413,1.4583,1.5309,0.55555,0.37811,0.35607,0.15184,1.98569,2.46936,2.35114,0.00943671,0.00943671,0.00943671
25,543.63,1.13071,1.48342,1.53793,0.58798,0.58039,0.65784,0.3126,1.50664,1.57469,1.92719,0.00938772,0.00938772,0.00938772
26,565.191,1.1284,1.46096,1.53229,0.60126,0.35437,0.42808,0.19211,1.67734,2.05654,2.09991,0.00933683,0.00933683,0.00933683
27,587.322,1.147,1.46871,1.5453,0.41125,0.39453,0.37127,0.16242,1.8661,2.37903,2.19732,0.00928405,0.00928405,0.00928405
28,608.886,1.13295,1.44124,1.5215,0.61746,0.58226,0.62482,0.29556,1.45132,1.62554,1.83241,0.00922942,0.00922942,0.00922942
29,630.426,1.13488,1.45305,1.52974,0.5927,0.50326,0.58462,0.2842,1.54677,1.73395,1.94276,0.00917296,0.00917296,0.00917296
30,652.569,1.14481,1.44227,1.5429,0.45503,0.58522,0.55233,0.25254,1.55032,1.77766,1.96139,0.00911469,0.00911469,0.00911469
31,674.133,1.1093,1.39598,1.50719,0.59217,0.6204,0.64961,0.31465,1.40138,1.50708,1.80274,0.00905463,0.00905463,0.00905463
32,695.849,1.09927,1.39212,1.50219,0.42018,0.46893,0.44663,0.20735,1.79767,2.13981,2.14153,0.00899282,0.00899282,0.00899282
33,717.844,1.10334,1.40447,1.5109,0.65578,0.54973,0.61245,0.29611,1.46443,1.6213,1.90707,0.00892928,0.00892928,0.00892928
34,739.944,1.12621,1.38882,1.51289,0.55084,0.46384,0.5367,0.24915,1.49957,1.75784,1.90252,0.00886404,0.00886404,0.00886404
35,761.579,1.09831,1.37728,1.49891,0.55322,0.63493,0.62508,0.30855,1.41444,1.55426,1.78969,0.00879713,0.00879713,0.00879713
36,783.034,1.0971,1.35866,1.49212,0.49038,0.53996,0.55684,0.25475,1.59406,1.78256,1.95783,0.00872857,0.00872857,0.00872857
