epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3372,1.95837,3.68065,1.85099,0.95831,0.05379,0.1303,0.06177,2.51794,3.62808,2.18861,0.0032963,0.0032963,0.0703333
2,73.9358,1.68331,2.88735,1.68502,0.54049,0.18601,0.16283,0.07844,2.51556,3.17514,2.36845,0.00662891,0.00662891,0.0403326
3,110.033,1.76668,2.43007,1.69028,0.76111,0.18819,0.18853,0.07447,2.98399,3.78525,2.54394,0.00995864,0.00995864,0.010329
4,146.27,1.74586,2.24963,1.68568,0.36328,0.28345,0.15477,0.06211,2.61513,3.14814,2.54509,0.00999023,0.00999023,0.00999023
5,180.89,1.68002,2.09483,1.6499,0.73575,0.11132,0.08702,0.02877,3.0218,4.45977,2.7225,0.00998264,0.00998264,0.00998264
6,202.54,1.65155,1.97907,1.65504,0.31167,0.3838,0.32672,0.11545,2.30812,2.58887,2.38556,0.00997288,0.00997288,0.00997288
7,224.179,1.59379,1.9121,1.63725,0.25953,0.37086,0.28275,0.1182,2.66924,2.59168,2.35999,0.00996097,0.00996097,0.00996097
8,245.632,1.59492,1.87293,1.63902,0.61148,0.31381,0.36795,0.15699,2.26525,2.40116,2.23763,0.0099469,0.0099469,0.0099469
9,267.097,1.55822,1.80495,1.6068,0.55473,0.31672,0.35179,0.15481,2.18431,2.33164,2.06008,0.00993068,0.00993068,0.00993068
10,288.465,1.56558,1.78841,1.62123,0.42938,0.30957,0.30113,0.14322,2.26158,2.46139,2.19514,0.00991232,0.00991232,0.00991232
11,310.778,1.53851,1.70635,1.60515,0.62274,0.24602,0.24987,0.09394,2.65829,2.86387,2.28164,0.00989183,0.00989183,0.00989183
12,332.082,1.50882,1.70084,1.58967,0.43715,0.58653,0.53715,0.24844,1.78737,1.91326,1.88668,0.00986922,0.00986922,0.00986922
13,353.458,1.50433,1.64104,1.59781,0.68578,0.12134,0.14395,0.06208,3.26279,3.33983,2.69297,0.00984449,0.00984449,0.00984449
14,374.691,1.49611,1.60899,1.56947,0.40152,0.28877,0.23667,0.09968,2.71549,3.10761,2.39145,0.00981765,0.00981765,0.00981765
15,395.971,1.48002,1.61669,1.57448,0.31722,0.38762,0.274,0.10724,2.56215,2.58104,2.40207,0.00978873,0.00978873,0.00978873
16,417.673,1.45907,1.58026,1.56368,0.24555,0.25851,0.19344,0.09288,3.07045,3.24246,2.72963,0.00975773,0.00975773,0.00975773
17,439.244,1.46423,1.58154,1.56957,0.37547,0.48434,0.45507,0.20799,1.83573,1.9519,1.916,0.00972466,0.00972466,0.00972466
18,460.583,1.4749,1.5898,1.58331,0.71241,0.29644,0.38104,0.16082,2.24523,2.33771,2.20116,0.00968955,0.00968955,0.00968955
19,482.375,1.45863,1.53583,1.56125,0.68123,0.17803,0.14624,0.05227,3.88371,3.5815,3.38089,0.00965239,0.00965239,0.00965239
20,504.027,1.44856,1.52396,1.55111,0.44511,0.56662,0.50636,0.21915,1.95507,1.8598,2.012,0.00961322,0.00961322,0.00961322
21,525.355,1.41341,1.50272,1.54337,0.67007,0.19591,0.2591,0.1192,2.59927,2.90573,2.39967,0.00957205,0.00957205,0.00957205
22,546.986,1.42734,1.4894,1.54471,0.40201,0.48721,0.4558,0.19802,2.13089,2.01532,2.10188,0.00952889,0.00952889,0.00952889
23,568.698,1.3976,1.4881,1.53263,0.3334,0.47035,0.37759,0.17926,2.21127,2.26688,2.12783,0.00948377,0.00948377,0.00948377
24,590.3,1.41766,1.46831,1.53742,0.7122,0.38296,0.48236,0.20825,2.14371,1.88477,1.98441,0.00943671,0.00943671,0.00943671
25,611.649,1.37856,1.4494,1.52402,0.62142,0.45189,0.49483,0.24618,1.81787,1.9874,1.90684,0.00938772,0.00938772,0.00938772
26,632.845,1.39064,1.43058,1.5272,0.44981,0.61907,0.54081,0.24199,1.94878,1.64465,1.91054,0.00933683,0.00933683,0.00933683
27,654.159,1.40789,1.42806,1.52276,0.15516,0.1807,0.13425,0.04375,3.39714,3.87174,2.91594,0.00928405,0.00928405,0.00928405
28,675.865,1.36632,1.4265,1.52422,0.50052,0.44447,0.4507,0.21437,2.25365,2.52855,2.20363,0.00922942,0.00922942,0.00922942
29,697.199,1.39417,1.42688,1.52367,0.49121,0.60787,0.58471,0.27284,1.88097,1.6805,1.89229,0.00917296,0.00917296,0.00917296
30,718.529,1.37339,1.41075,1.50927,0.50834,0.56828,0.5881,0.27819,1.86556,1.62737,1.89622,0.00911469,0.00911469,0.00911469
31,739.799,1.34467,1.42621,1.50652,0.59394,0.65348,0.66444,0.32427,1.72253,1.51766,1.81202,0.00905463,0.00905463,0.00905463
32,761.073,1.36796,1.40787,1.51708,0.62651,0.64035,0.65927,0.32154,1.7269,1.50839,1.79488,0.00899282,0.00899282,0.00899282
33,782.953,1.34939,1.3841,1.50313,0.4431,0.44497,0.39691,0.1638,2.2808,2.31403,2.13855,0.00892928,0.00892928,0.00892928
34,804.544,1.34509,1.37365,1.50823,0.49859,0.45392,0.42139,0.19935,1.93612,2.21923,2.00801,0.00886404,0.00886404,0.00886404
35,825.838,1.34962,1.36185,1.50627,0.33019,0.34921,0.27544,0.10633,3.02547,2.76143,2.72719,0.00879713,0.00879713,0.00879713
36,847.799,1.34518,1.35706,1.49455,0.42143,0.52562,0.50282,0.25096,1.88058,1.79387,1.93652,0.00872857,0.00872857,0.00872857
37,869.193,1.33005,1.35725,1.49193,0.46573,0.54248,0.51002,0.24207,1.93186,1.78188,1.90072,0.00865839,0.00865839,0.00865839
38,890.472,1.35215,1.35776,1.49809,0.56321,0.62665,0.62205,0.32129,1.66477,1.51054,1.81156,0.00858664,0.00858664,0.00858664
39,912.103,1.34429,1.34262,1.49258,0.4455,0.47298,0.45269,0.21552,2.12656,1.91662,2.06393,0.00851333,0.00851333,0.00851333
40,933.871,1.33313,1.3316,1.49314,0.54499,0.54184,0.56308,0.25209,1.96304,1.71523,1.92452,0.00843851,0.00843851,0.00843851
41,955.309,1.33472,1.32839,1.49328,0.53267,0.63114,0.59921,0.30229,1.71519,1.55457,1.80449,0.0083622,0.0083622,0.0083622
42,976.639,1.32162,1.30743,1.48106,0.46366,0.51877,0.5009,0.23834,1.94702,1.82523,1.96081,0.00828443,0.00828443,0.00828443
43,997.881,1.30289,1.30643,1.48184,0.53919,0.51113,0.53729,0.26866,1.81831,1.69499,1.84001,0.00820525,0.00820525,0.00820525
44,1019.7,1.31864,1.31951,1.47894,0.52342,0.60578,0.60393,0.29137,1.72727,1.5722,1.83056,0.00812468,0.00812468,0.00812468
45,1041.44,1.29247,1.3005,1.47198,0.63323,0.58715,0.64851,0.32658,1.72163,1.49369,1.81318,0.00804277,0.00804277,0.00804277
46,1062.7,1.30466,1.29638,1.47359,0.53364,0.43401,0.47518,0.22159,2.23139,2.13369,2.15212,0.00795954,0.00795954,0.00795954
47,1083.92,1.29297,1.28707,1.46353,0.6012,0.21699,0.26437,0.1119,2.82624,2.97563,2.67309,0.00787503,0.00787503,0.00787503
48,1105.07,1.29558,1.28106,1.47423,0.55323,0.52369,0.53536,0.24294,2.09414,1.9261,1.98503,0.00778929,0.00778929,0.00778929
49,1126.41,1.27436,1.2725,1.45958,0.59192,0.59596,0.63419,0.31363,1.76065,1.49157,1.84241,0.00770234,0.00770234,0.00770234
50,1147.91,1.277,1.28658,1.47074,0.61311,0.53575,0.55872,0.24532,2.15105,1.82482,2.08845,0.00761423,0.00761423,0.00761423
51,1169.25,1.26313,1.2652,1.45793,0.60853,0.60984,0.641,0.32581,1.70979,1.52443,1.81053,0.007525,0.007525,0.007525
52,1190.96,1.26607,1.24592,1.45686,0.60881,0.67937,0.67695,0.33925,1.68064,1.40676,1.77529,0.00743468,0.00743468,0.00743468
53,1212.82,1.25764,1.23831,1.44376,0.41402,0.42201,0.37973,0.17388,2.23431,2.32926,2.11658,0.00734332,0.00734332,0.00734332
54,1234.19,1.28029,1.26456,1.46088,0.64194,0.6328,0.68732,0.34491,1.6287,1.432,1.7586,0.00725094,0.00725094,0.00725094
55,1255.7,1.24736,1.23062,1.43888,0.57917,0.64255,0.65257,0.3235,1.78685,1.40227,1.82812,0.00715761,0.00715761,0.00715761
56,1277.38,1.25607,1.24465,1.4487,0.6531,0.57591,0.64799,0.31326,1.7794,1.50165,1.86209,0.00706335,0.00706335,0.00706335
57,1299.07,1.24257,1.22215,1.43275,0.48496,0.52879,0.53984,0.25759,1.84362,1.76039,1.88076,0.0069682,0.0069682,0.0069682
58,1320.51,1.2516,1.21491,1.43864,0.58896,0.45524,0.52769,0.25887,2.02404,1.90989,1.98186,0.00687222,0.00687222,0.00687222
59,1341.78,1.25264,1.2346,1.44184,0.63846,0.66185,0.70068,0.35947,1.60407,1.35585,1.73698,0.00677543,0.00677543,0.00677543
60,1363.21,1.23372,1.19176,1.42508,0.6082,0.60416,0.63384,0.31111,1.68525,1.54998,1.81032,0.00667789,0.00667789,0.00667789
61,1384.85,1.24851,1.20655,1.43819,0.60746,0.68568,0.72113,0.36686,1.58714,1.33765,1.73752,0.00657963,0.00657963,0.00657963
62,1406.3,1.23945,1.2152,1.42907,0.75342,0.47074,0.56193,0.29645,1.67406,1.84628,1.76839,0.00648071,0.00648071,0.00648071
63,1427.61,1.21731,1.17609,1.41811,0.61096,0.65084,0.67892,0.36088,1.56438,1.31794,1.70693,0.00638115,0.00638115,0.00638115
64,1448.92,1.24246,1.21631,1.43588,0.58869,0.6038,0.63973,0.32506,1.73456,1.45871,1.79773,0.00628101,0.00628101,0.00628101
65,1470.21,1.22821,1.1705,1.42803,0.61806,0.62536,0.6738,0.34092,1.63885,1.44969,1.75732,0.00618034,0.00618034,0.00618034
66,1491.68,1.21281,1.19001,1.41702,0.60547,0.69288,0.7168,0.39623,1.51148,1.322,1.67117,0.00607916,0.00607916,0.00607916
67,1513.36,1.20195,1.15805,1.41689,0.68628,0.63262,0.72473,0.38141,1.59037,1.29193,1.74385,0.00597754,0.00597754,0.00597754
68,1534.75,1.20673,1.17937,1.41289,0.64097,0.69659,0.71049,0.3738,1.59115,1.26215,1.73584,0.00587551,0.00587551,0.00587551
69,1556.42,1.21187,1.1657,1.42167,0.66067,0.61044,0.68003,0.34823,1.67753,1.44625,1.78293,0.00577311,0.00577311,0.00577311
70,1578.17,1.20414,1.15465,1.41925,0.71905,0.5955,0.67573,0.34137,1.75861,1.41283,1.81018,0.0056704,0.0056704,0.0056704
71,1599.54,1.19589,1.16964,1.41385,0.59656,0.67694,0.68921,0.35239,1.61558,1.34033,1.7403,0.00556742,0.00556742,0.00556742
72,1621.14,1.19496,1.13205,1.40748,0.60339,0.6094,0.65105,0.32547,1.81106,1.47271,1.86731,0.00546421,0.00546421,0.00546421
73,1642.85,1.19421,1.12311,1.39556,0.72499,0.60948,0.72276,0.37831,1.6414,1.30024,1.73157,0.00536081,0.00536081,0.00536081
74,1664.54,1.19235,1.12576,1.40328,0.67843,0.64826,0.71229,0.37605,1.63772,1.29043,1.74789,0.00525728,0.00525728,0.00525728
75,1685.76,1.19854,1.1452,1.41143,0.65682,0.66233,0.7068,0.34513,1.72798,1.34405,1.78665,0.00515366,0.00515366,0.00515366
76,1707.2,1.19112,1.12124,1.38883,0.62149,0.62443,0.69629,0.36219,1.65748,1.31063,1.75409,0.00505,0.00505,0.00505
77,1728.5,1.16647,1.10865,1.38685,0.63806,0.60921,0.65268,0.33341,1.87975,1.46313,1.83936,0.00494634,0.00494634,0.00494634
78,1750.18,1.15688,1.0978,1.38147,0.62635,0.68002,0.72319,0.38078,1.6526,1.24521,1.75096,0.00484272,0.00484272,0.00484272
79,1771.51,1.17316,1.08943,1.38024,0.58697,0.65043,0.68244,0.35147,1.76458,1.33437,1.78943,0.00473919,0.00473919,0.00473919
80,1792.85,1.18697,1.12601,1.39989,0.66359,0.67557,0.71369,0.37932,1.63281,1.27743,1.72644,0.00463579,0.00463579,0.00463579
81,1814.07,1.15403,1.09455,1.37078,0.68874,0.60515,0.69171,0.36538,1.67432,1.28826,1.79243,0.00453258,0.00453258,0.00453258
82,1835.24,1.15168,1.09326,1.38108,0.69227,0.66486,0.72765,0.3811,1.66744,1.21144,1.77797,0.0044296,0.0044296,0.0044296
83,1856.75,1.16031,1.08016,1.38803,0.61565,0.66651,0.69168,0.37164,1.63173,1.27123,1.72381,0.00432689,0.00432689,0.00432689
84,1878.5,1.13031,1.07176,1.36783,0.68421,0.6535,0.73131,0.35818,1.75349,1.25227,1.79902,0.00422449,0.00422449,0.00422449
85,1899.77,1.12618,1.04823,1.36311,0.63393,0.66659,0.69502,0.36097,1.66048,1.33018,1.75634,0.00412246,0.00412246,0.00412246
86,1921.53,1.10659,1.05527,1.353,0.6266,0.68174,0.71667,0.36891,1.65572,1.2889,1.75719,0.00402084,0.00402084,0.00402084
87,1943.13,1.13597,1.07092,1.37279,0.64652,0.66709,0.71598,0.3837,1.57376,1.25534,1.69956,0.00391966,0.00391966,0.00391966
88,1964.38,1.11193,1.04691,1.35398,0.65364,0.64607,0.72948,0.38133,1.61593,1.2778,1.7419,0.00381899,0.00381899,0.00381899
89,1986.07,1.12085,1.04471,1.35081,0.7536,0.62286,0.72954,0.38309,1.60891,1.27994,1.73213,0.00371885,0.00371885,0.00371885
90,2007.74,1.12673,1.05351,1.36592,0.595,0.67403,0.691,0.36504,1.60918,1.31316,1.71005,0.00361929,0.00361929,0.00361929
91,2029.42,1.12819,1.05185,1.36261,0.62214,0.70728,0.7117,0.37874,1.62895,1.28466,1.72078,0.00352037,0.00352037,0.00352037
92,2050.8,1.11961,1.03089,1.35987,0.73792,0.64968,0.72972,0.3849,1.64683,1.23188,1.74957,0.00342211,0.00342211,0.00342211
