epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.439,2.38776,3.36098,1.94148,0.30725,0.33994,0.32981,0.15482,2.4646,2.42151,2.13226,0.0032963,0.0032963,0.0703333
2,62.6515,1.88036,1.93996,1.65244,0.32024,0.38153,0.37946,0.16308,2.54926,2.12969,2.05893,0.00662891,0.00662891,0.0403326
3,93.8316,1.87602,1.80136,1.62021,0.39443,0.2874,0.18929,0.082,3.03974,3.16055,2.33075,0.00995864,0.00995864,0.010329
4,124.521,1.91661,1.77745,1.61537,0.27782,0.17575,0.09277,0.03499,3.59045,3.53241,2.53204,0.00999023,0.00999023,0.00999023
5,155.362,1.91282,1.77974,1.65072,0.18857,0.26327,0.17402,0.06773,3.43561,3.91688,2.54097,0.00998264,0.00998264,0.00998264
6,186.369,1.91461,1.7092,1.64769,0.30873,0.45141,0.31288,0.12168,2.83487,2.27126,2.24979,0.00997288,0.00997288,0.00997288
7,217.011,1.86295,1.65771,1.62691,0.42008,0.27161,0.22902,0.09179,3.31334,2.92814,2.46734,0.00996097,0.00996097,0.00996097
8,247.586,1.80842,1.62504,1.61943,0.39764,0.41191,0.40451,0.17265,2.49979,2.10589,2.05568,0.0099469,0.0099469,0.0099469
9,278.416,1.79222,1.63044,1.60572,0.67206,0.33381,0.3978,0.17436,2.62138,2.216,2.30645,0.00993068,0.00993068,0.00993068
10,309.618,1.75553,1.53697,1.58784,0.36752,0.3298,0.29571,0.11743,3.10361,2.82886,2.49231,0.00991232,0.00991232,0.00991232
11,340.248,1.74521,1.54465,1.58221,0.49277,0.37472,0.3597,0.15869,2.72469,2.52831,2.30021,0.00989183,0.00989183,0.00989183
12,371.271,1.76817,1.54943,1.59576,0.71912,0.34168,0.44643,0.18257,2.44596,2.12694,2.11568,0.00986922,0.00986922,0.00986922
13,402.157,1.72002,1.53944,1.58597,0.67054,0.5005,0.56594,0.26597,2.21293,1.71069,2.06112,0.00984449,0.00984449,0.00984449
14,433.069,1.66583,1.47781,1.55881,0.4871,0.56305,0.53015,0.24407,2.19657,1.75417,2.06384,0.00981765,0.00981765,0.00981765
15,464.128,1.66935,1.48062,1.56454,0.40634,0.51664,0.49184,0.21495,2.28817,2.02657,1.97519,0.00978873,0.00978873,0.00978873
16,494.792,1.66058,1.45492,1.55712,0.44015,0.48385,0.46602,0.2181,2.46028,1.8402,2.05036,0.00975773,0.00975773,0.00975773
17,525.381,1.67011,1.4731,1.56495,0.45911,0.22041,0.21066,0.08397,3.69493,3.83387,2.94933,0.00972466,0.00972466,0.00972466
18,556.22,1.64417,1.47364,1.56056,0.36782,0.29457,0.33454,0.15285,2.65239,2.36093,2.2868,0.00968955,0.00968955,0.00968955
19,586.941,1.62263,1.41774,1.53532,0.38371,0.40552,0.40777,0.18356,2.62062,2.21889,2.21357,0.00965239,0.00965239,0.00965239
20,617.656,1.60221,1.40261,1.52556,0.53542,0.50079,0.55317,0.25122,2.2221,1.70549,1.99155,0.00961322,0.00961322,0.00961322
21,648.401,1.62076,1.42543,1.55425,0.64714,0.50662,0.56708,0.23594,2.2825,1.68945,2.00483,0.00957205,0.00957205,0.00957205
22,679.361,1.60286,1.3877,1.53321,0.56892,0.54606,0.56594,0.2844,2.15896,1.64571,1.90067,0.00952889,0.00952889,0.00952889
23,710.381,1.57568,1.42464,1.53699,0.53636,0.58633,0.56415,0.25649,2.2879,1.7079,1.99612,0.00948377,0.00948377,0.00948377
