epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.354,2.1238,3.74802,1.81701,0.01019,0.4963,0.06726,0.02464,2.889,3.68031,2.23145,0.0032963,0.0032963,0.0703333
2,44.3179,1.82889,2.92178,1.6453,0.68431,0.15233,0.1698,0.08238,3.18091,3.28099,2.51872,0.00662891,0.00662891,0.0403326
3,65.9809,1.90878,2.41612,1.68055,0.18913,0.23271,0.12068,0.0474,4.57606,12.3669,3.08732,0.00995864,0.00995864,0.010329
4,88.0256,1.96724,2.27864,1.69348,0.29503,0.11686,0.04397,0.01276,5.26253,6.16344,3.34015,0.00999023,0.00999023,0.00999023
5,109.496,1.94811,2.19099,1.69667,0.32084,0.41392,0.29654,0.11126,2.79163,3.40792,2.40461,0.00998264,0.00998264,0.00998264
6,130.937,1.84241,2.04403,1.65608,0.61741,0.27838,0.20937,0.08948,3.33589,77.4729,2.90339,0.00997288,0.00997288,0.00997288
7,152.766,1.82804,1.98029,1.65615,0.44291,0.37664,0.29213,0.13296,2.46731,2.68038,2.17734,0.00996097,0.00996097,0.00996097
8,174.29,1.79025,1.88351,1.62568,0.63469,0.24623,0.2868,0.11738,2.62937,2.34576,2.23014,0.0099469,0.0099469,0.0099469
9,195.756,1.769,1.81908,1.62485,0.34403,0.47322,0.35118,0.1501,2.47046,3.41874,2.20954,0.00993068,0.00993068,0.00993068
10,217.069,1.74644,1.77386,1.61004,0.68948,0.23908,0.26761,0.10285,2.7261,2.59986,2.30251,0.00991232,0.00991232,0.00991232
11,238.352,1.7125,1.74444,1.60723,0.48716,0.42294,0.42822,0.18952,2.15242,1.99303,1.9275,0.00989183,0.00989183,0.00989183
12,259.864,1.68594,1.68832,1.59922,0.79257,0.12714,0.09898,0.03533,3.89412,4.0019,3.13585,0.00986922,0.00986922,0.00986922
