epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7741,3.41862,4.35973,4.03387,0.00882,0.42822,0.06325,0.01499,3.92732,3.64287,3.91742,0.0032963,0.0032963,0.0703333
2,59.6247,2.72805,3.22938,3.4567,0.08735,0.22134,0.09908,0.03549,3.3969,4.12478,3.59883,0.00662891,0.00662891,0.0403326
3,89.1276,2.1586,2.86261,3.073,0.27392,0.378,0.14244,0.04862,2.55415,11.4584,3.0903,0.00995864,0.00995864,0.010329
4,118.634,1.9159,2.71785,2.78095,0.029,0.09411,0.02564,0.00727,3.26514,4.856,3.49789,0.00999023,0.00999023,0.00999023
5,147.916,1.74588,2.59935,2.59907,0.41337,0.09002,0.05306,0.02065,2.85176,3.95443,3.25735,0.00998264,0.00998264,0.00998264
6,177.618,1.61298,2.49072,2.46872,0.46198,0.34414,0.27202,0.11538,2.07894,3.452,2.57353,0.00997288,0.00997288,0.00997288
7,206.892,1.5389,2.38425,2.37774,0.58413,0.18299,0.18421,0.06821,2.29668,3.37019,2.75886,0.00996097,0.00996097,0.00996097
8,236.775,1.46775,2.26686,2.29761,0.17608,0.36656,0.25558,0.10665,1.96865,3.53306,2.50425,0.0099469,0.0099469,0.0099469
9,266.061,1.42758,2.18209,2.23052,0.40198,0.46674,0.40802,0.16342,1.95785,2.43527,2.4789,0.00993068,0.00993068,0.00993068
10,295.566,1.40113,2.12612,2.2004,0.4435,0.46062,0.39071,0.15364,1.79555,2.51934,2.41431,0.00991232,0.00991232,0.00991232
11,325.033,1.38727,2.08714,2.14851,0.43083,0.41305,0.37828,0.15136,2.0264,2.41291,2.5754,0.00989183,0.00989183,0.00989183
12,354.344,1.33643,2.00438,2.11348,0.33959,0.46366,0.35625,0.14956,1.94232,2.5137,2.42389,0.00986922,0.00986922,0.00986922
13,383.658,1.36077,1.98855,2.11042,0.51372,0.41764,0.40211,0.18006,1.70732,2.14118,2.27618,0.00984449,0.00984449,0.00984449
14,413.236,1.31174,1.92469,2.07964,0.34062,0.40224,0.3873,0.19054,1.71013,2.32319,2.25747,0.00981765,0.00981765,0.00981765
15,442.379,1.29083,1.88368,2.04471,0.39691,0.46822,0.42706,0.1786,1.8019,2.33391,2.3281,0.00978873,0.00978873,0.00978873
16,471.604,1.28016,1.88973,2.04724,0.39916,0.55337,0.46899,0.20511,1.70127,2.06114,2.26846,0.00975773,0.00975773,0.00975773
17,500.808,1.24704,1.83763,2.01893,0.6086,0.46968,0.45189,0.20501,1.74187,2.2123,2.29251,0.00972466,0.00972466,0.00972466
18,530.609,1.26127,1.81456,2.00276,0.36771,0.40075,0.35154,0.15922,1.85984,2.44427,2.30627,0.00968955,0.00968955,0.00968955
19,559.708,1.25741,1.78276,1.98868,0.36553,0.54504,0.44198,0.1838,1.77059,2.19086,2.25992,0.00965239,0.00965239,0.00965239
20,589.131,1.23235,1.77018,1.97803,0.45974,0.5656,0.54724,0.23271,1.7222,1.84071,2.20418,0.00961322,0.00961322,0.00961322
21,618.374,1.22181,1.73373,1.95262,0.30086,0.22808,0.1716,0.06705,2.48192,3.07438,2.83688,0.00957205,0.00957205,0.00957205
22,648.041,1.21478,1.72345,1.93591,0.59755,0.59634,0.59887,0.2647,1.61192,1.86431,2.1741,0.00952889,0.00952889,0.00952889
23,677.458,1.21123,1.70794,1.94887,0.50479,0.51792,0.53668,0.24072,1.64986,1.92678,2.14831,0.00948377,0.00948377,0.00948377
24,706.795,1.20612,1.67578,1.94058,0.44442,0.53938,0.48229,0.20812,1.75575,1.92176,2.23063,0.00943671,0.00943671,0.00943671
25,735.992,1.21376,1.70313,1.93943,0.59192,0.3268,0.42521,0.1795,1.8663,2.28796,2.37497,0.00938772,0.00938772,0.00938772
26,765.431,1.18412,1.66011,1.92394,0.43125,0.31953,0.25388,0.10195,2.21311,2.95988,2.65526,0.00933683,0.00933683,0.00933683
27,794.799,1.20703,1.6633,1.91374,0.51486,0.65044,0.59251,0.2551,1.56785,1.75561,2.08388,0.00928405,0.00928405,0.00928405
28,823.853,1.19285,1.6438,1.90396,0.55693,0.46416,0.39389,0.15785,1.86258,2.25218,2.31407,0.00922942,0.00922942,0.00922942
29,853.051,1.20094,1.64326,1.91211,0.54482,0.5202,0.55327,0.25861,1.62886,1.75457,2.15164,0.00917296,0.00917296,0.00917296
30,882.457,1.2021,1.62725,1.91448,0.50106,0.55617,0.53878,0.22676,1.65127,1.92122,2.19666,0.00911469,0.00911469,0.00911469
31,911.791,1.16246,1.59432,1.87142,0.50285,0.6215,0.57449,0.25374,1.6485,1.75802,2.20544,0.00905463,0.00905463,0.00905463
32,941.333,1.16283,1.57194,1.86466,0.42259,0.47458,0.42799,0.18699,1.89552,2.18294,2.33419,0.00899282,0.00899282,0.00899282
33,970.669,1.153,1.58493,1.8648,0.52568,0.55627,0.55814,0.26064,1.58606,1.78227,2.14581,0.00892928,0.00892928,0.00892928
34,1000.05,1.16882,1.57078,1.86614,0.43826,0.62766,0.56228,0.24916,1.60682,1.76425,2.14471,0.00886404,0.00886404,0.00886404
35,1029.62,1.15429,1.53906,1.844,0.382,0.25674,0.18927,0.06891,2.58255,3.71173,3.04351,0.00879713,0.00879713,0.00879713
36,1058.93,1.15347,1.5331,1.85865,0.49836,0.19598,0.22804,0.08324,2.61278,3.05692,2.79364,0.00872857,0.00872857,0.00872857
37,1087.99,1.15454,1.52179,1.83909,0.27575,0.31083,0.21011,0.07673,2.5925,3.4018,3.02018,0.00865839,0.00865839,0.00865839
38,1117.34,1.14848,1.49161,1.83184,0.51477,0.56947,0.58467,0.25173,1.69213,1.86127,2.1935,0.00858664,0.00858664,0.00858664
39,1146.75,1.13902,1.50516,1.82253,0.54107,0.5262,0.62557,0.2849,1.61831,1.66659,2.14566,0.00851333,0.00851333,0.00851333
40,1175.89,1.15005,1.49799,1.82795,0.52662,0.62322,0.62089,0.28422,1.60154,1.61877,2.06885,0.00843851,0.00843851,0.00843851
41,1205.19,1.13876,1.47124,1.81492,0.51822,0.34464,0.36946,0.15484,2.00715,2.63934,2.47866,0.0083622,0.0083622,0.0083622
42,1234.45,1.1521,1.49285,1.81932,0.52912,0.50782,0.5104,0.23571,1.79982,1.92458,2.2378,0.00828443,0.00828443,0.00828443
43,1263.88,1.11585,1.47501,1.80336,0.60431,0.61373,0.6321,0.30447,1.54616,1.53656,2.04249,0.00820525,0.00820525,0.00820525
44,1293.08,1.12294,1.46629,1.80294,0.57339,0.63646,0.61907,0.28957,1.60464,1.64044,2.10681,0.00812468,0.00812468,0.00812468
45,1322.61,1.12108,1.44133,1.81216,0.57665,0.37302,0.44841,0.19501,1.80357,2.04705,2.23459,0.00804277,0.00804277,0.00804277
46,1351.91,1.13176,1.44884,1.79513,0.57173,0.62982,0.62632,0.28946,1.58914,1.66393,2.09531,0.00795954,0.00795954,0.00795954
47,1381.37,1.13147,1.45572,1.78914,0.63375,0.4395,0.49413,0.21826,1.78975,2.03484,2.20932,0.00787503,0.00787503,0.00787503
48,1410.84,1.13447,1.48332,1.79848,0.42904,0.43414,0.40415,0.15257,2.25857,2.28772,2.6563,0.00778929,0.00778929,0.00778929
49,1439.97,1.13657,1.44286,1.79579,0.52608,0.49756,0.4881,0.21447,1.9855,1.91276,2.41214,0.00770234,0.00770234,0.00770234
50,1469.16,1.10717,1.43637,1.77041,0.60024,0.61232,0.6222,0.28379,1.70658,1.65038,2.19305,0.00761423,0.00761423,0.00761423
51,1498.67,1.11108,1.41731,1.77644,0.56004,0.52988,0.57926,0.25849,1.71992,1.79725,2.16543,0.007525,0.007525,0.007525
52,1527.77,1.09305,1.39286,1.76677,0.54111,0.23997,0.24877,0.0938,2.51575,3.19137,2.79072,0.00743468,0.00743468,0.00743468
53,1556.85,1.10566,1.4248,1.78095,0.64318,0.59547,0.65711,0.31438,1.56954,1.52147,2.05622,0.00734332,0.00734332,0.00734332
54,1585.91,1.09561,1.41672,1.77012,0.55547,0.68952,0.67528,0.31736,1.52802,1.59256,2.02735,0.00725094,0.00725094,0.00725094
55,1615.54,1.09471,1.39224,1.76874,0.58071,0.64135,0.66552,0.32187,1.56633,1.54887,2.05913,0.00715761,0.00715761,0.00715761
56,1644.66,1.11558,1.39495,1.76346,0.64455,0.61002,0.64471,0.30681,1.59079,1.54496,2.0937,0.00706335,0.00706335,0.00706335
57,1674.19,1.07594,1.38586,1.76028,0.62441,0.6086,0.64586,0.31524,1.60082,1.54815,2.12296,0.0069682,0.0069682,0.0069682
58,1703.2,1.07793,1.36205,1.74497,0.58873,0.67152,0.70509,0.34556,1.51503,1.50281,2.02546,0.00687222,0.00687222,0.00687222
59,1732.63,1.08892,1.34193,1.75114,0.60719,0.67625,0.67874,0.33063,1.54158,1.48956,2.03347,0.00677543,0.00677543,0.00677543
60,1762.17,1.06613,1.34642,1.73083,0.63673,0.63298,0.67679,0.32575,1.56066,1.5041,2.04225,0.00667789,0.00667789,0.00667789
