epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5581,1.52013,3.68104,1.84191,0.79192,0.06118,0.08779,0.03622,1.87355,3.53309,2.17344,0.0032963,0.0032963,0.0703333
2,73.9403,1.29495,2.87479,1.65877,0.36785,0.16982,0.14151,0.06805,2.16265,3.26724,2.31964,0.00662891,0.00662891,0.0403326
3,110.19,1.3246,2.3758,1.64194,0.75483,0.05328,0.05869,0.02094,2.75857,5.2522,2.95634,0.00995864,0.00995864,0.010329
4,146.339,1.34419,2.18969,1.66304,0.31526,0.19946,0.134,0.05435,2.633,3.54071,2.90471,0.00999023,0.00999023,0.00999023
5,181.866,1.36366,2.12201,1.67733,0.55405,0.23974,0.23141,0.09425,1.96496,3.11392,2.44066,0.00998264,0.00998264,0.00998264
6,219.275,1.3217,2.02295,1.65148,0.34229,0.62739,0.41867,0.17421,1.47574,2.76138,1.99418,0.00997288,0.00997288,0.00997288
7,256.326,1.27417,1.89081,1.6053,0.64498,0.33254,0.4117,0.17121,1.77392,2.32105,2.20972,0.00996097,0.00996097,0.00996097
8,292.352,1.27603,1.86332,1.61858,0.6483,0.13612,0.18881,0.0785,2.25188,3.51877,2.5518,0.0099469,0.0099469,0.0099469
9,328.859,1.2289,1.78404,1.58781,0.55386,0.46543,0.42478,0.18151,1.73212,2.36284,2.17943,0.00993068,0.00993068,0.00993068
10,364.208,1.21442,1.71033,1.59042,0.22095,0.10937,0.10606,0.04044,3.04003,3.51886,3.24388,0.00991232,0.00991232,0.00991232
11,399.769,1.21395,1.69319,1.58616,0.25106,0.27272,0.25961,0.10132,2.30542,2.65977,2.68326,0.00989183,0.00989183,0.00989183
12,435.095,1.21164,1.65969,1.58387,0.65298,0.42943,0.53462,0.23928,1.48257,1.87141,1.91123,0.00986922,0.00986922,0.00986922
13,470.794,1.21842,1.6481,1.57676,0.62986,0.22771,0.22474,0.09885,2.38409,3.36931,2.61664,0.00984449,0.00984449,0.00984449
14,506.61,1.19831,1.61589,1.56334,0.39546,0.49081,0.42385,0.17928,1.71978,2.46723,2.12015,0.00981765,0.00981765,0.00981765
15,541.781,1.1883,1.59907,1.55208,0.47413,0.51248,0.50459,0.23368,1.60389,2.05217,1.97862,0.00978873,0.00978873,0.00978873
16,578.424,1.15254,1.54915,1.53724,0.39672,0.42939,0.37999,0.16354,1.88401,2.34088,2.22763,0.00975773,0.00975773,0.00975773
17,614.773,1.18235,1.54471,1.54496,0.39937,0.43894,0.43378,0.20496,1.52543,2.00852,1.90292,0.00972466,0.00972466,0.00972466
18,650.647,1.16678,1.53605,1.54141,0.58683,0.34214,0.39039,0.18175,1.98415,2.64825,2.31888,0.00968955,0.00968955,0.00968955
19,686.071,1.16517,1.50416,1.52905,0.62882,0.39985,0.45294,0.21115,1.59007,1.97673,1.96302,0.00965239,0.00965239,0.00965239
